rawContent,status,label,caseFolding,cleaning,tokenizing,stopword,normalized,stemmed
Masa masih legend udh di lock,1,Negatif,masa masih legend udh di lock,masa masih legend udh di lock,"['masa', 'masih', 'legend', 'udh', 'di', 'lock']","['legend', 'udh', 'lock']","['legend', 'udh', 'lock']","['legend', 'udh', 'lock']"
GAME SAMPAH GAME PENUH KECURANGAN DARI MOONTON.,1,Negatif,game sampah game penuh kecurangan dari moonton.,game sampah game penuh kecurangan dari moonton,"['game', 'sampah', 'game', 'penuh', 'kecurangan', 'dari', 'moonton']","['game', 'sampah', 'game', 'penuh', 'kecurangan', 'moonton']","['game', 'sampah', 'game', 'penuh', 'kecurangan', 'moonton']","['game', 'sampah', 'game', 'penuh', 'curang', 'moonton']"
Makin parah sekarang banyak dark sistemm bagus main di game sebelah,1,Negatif,makin parah sekarang banyak dark sistemm bagus main di game sebelah,makin parah sekarang banyak dark sistemm bagus main di game sebelah,"['makin', 'parah', 'sekarang', 'banyak', 'dark', 'sistemm', 'bagus', 'main', 'di', 'game', 'sebelah']","['parah', 'dark', 'sistemm', 'bagus', 'main', 'game', 'sebelah']","['parah', 'dark', 'sistemm', 'bagus', 'main', 'game', 'sebelah']","['parah', 'dark', 'sistemm', 'bagus', 'main', 'game', 'belah']"
dark sytem,1,Negatif,dark sytem,dark sytem,"['dark', 'sytem']","['dark', 'sytem']","['dark', 'sytem']","['dark', 'sytem']"
game nya ga seru tidak bisa menyeimbangkan pemain sampai lose streak beberapa kali,1,Negatif,game nya ga seru tidak bisa menyeimbangkan pemain sampai lose streak beberapa kali,game nya ga seru tidak bisa menyeimbangkan pemain sampai lose streak beberapa kali,"['game', 'nya', 'ga', 'seru', 'tidak', 'bisa', 'menyeimbangkan', 'pemain', 'sampai', 'lose', 'streak', 'beberapa', 'kali']","['game', 'nya', 'ga', 'seru', 'menyeimbangkan', 'pemain', 'lose', 'streak', 'kali']","['game', 'nya', 'ga', 'seru', 'menyeimbangkan', 'pemain', 'lose', 'streak', 'kali']","['game', 'nya', 'ga', 'seru', 'imbang', 'main', 'lose', 'streak', 'kali']"
anjing lah monton kasih tim ga imbang bngst di glori masih ada aja payer yang tolol ya minta amupun. Minta tolong untuk bisa membuat game yang draf pick yang imbang,1,Negatif,anjing lah monton kasih tim ga imbang bngst di glori masih ada aja payer yang tolol ya minta amupun. minta tolong untuk bisa membuat game yang draf pick yang imbang,anjing lah monton kasih tim ga imbang bngst di glori masih ada aja payer yang tolol ya minta amupun minta tolong untuk bisa membuat game yang draf pick yang imbang,"['anjing', 'lah', 'monton', 'kasih', 'tim', 'ga', 'imbang', 'bngst', 'di', 'glori', 'masih', 'ada', 'aja', 'payer', 'yang', 'tolol', 'ya', 'minta', 'amupun', 'minta', 'tolong', 'untuk', 'bisa', 'membuat', 'game', 'yang', 'draf', 'pick', 'yang', 'imbang']","['anjing', 'monton', 'kasih', 'tim', 'ga', 'imbang', 'bngst', 'glori', 'aja', 'payer', 'tolol', 'ya', 'amupun', 'tolong', 'game', 'draf', 'pick', 'imbang']","['anjing', 'monton', 'kasih', 'tim', 'ga', 'imbang', 'bngst', 'glori', 'aja', 'payer', 'tolol', 'ya', 'amupun', 'tolong', 'game', 'draf', 'pick', 'imbang']","['anjing', 'monton', 'kasih', 'tim', 'ga', 'imbang', 'bngst', 'glori', 'aja', 'payer', 'tolol', 'ya', 'amupun', 'tolong', 'game', 'draf', 'pick', 'imbang']"
Lebih mending main Honor of King ini mah banyak dark sistemnya,1,Negatif,lebih mending main honor of king ini mah banyak dark sistemnya,lebih mending main honor of king ini mah banyak dark sistemnya,"['lebih', 'mending', 'main', 'honor', 'of', 'king', 'ini', 'mah', 'banyak', 'dark', 'sistemnya']","['mending', 'main', 'honor', 'of', 'king', 'mah', 'dark', 'sistemnya']","['mending', 'main', 'honor', 'of', 'king', 'mah', 'dark', 'sistemnya']","['mending', 'main', 'honor', 'of', 'king', 'mah', 'dark', 'sistem']"
Hari game BB tidak ada event Langsung Hapus gamenya. Terimakasih.,1,Negatif,hari game bb tidak ada event langsung hapus gamenya. terimakasih.,hari game bb tidak ada event langsung hapus gamenya terimakasih,"['hari', 'game', 'bb', 'tidak', 'ada', 'event', 'langsung', 'hapus', 'gamenya', 'terimakasih']","['game', 'bb', 'event', 'langsung', 'hapus', 'gamenya', 'terimakasih']","['game', 'bb', 'event', 'langsung', 'hapus', 'gamenya', 'terimakasih']","['game', 'bb', 'event', 'langsung', 'hapus', 'gamenya', 'terimakasih']"
tolong perpindahan akun fb benerin lagi saya mau masuk pake akun fb gak bisa malah bulak balik lagi tolong kerjasamanya,1,Negatif,tolong perpindahan akun fb benerin lagi saya mau masuk pake akun fb gak bisa malah bulak balik lagi tolong kerjasamanya,tolong perpindahan akun fb benerin lagi saya mau masuk pake akun fb gak bisa malah bulak balik lagi tolong kerjasamanya,"['tolong', 'perpindahan', 'akun', 'fb', 'benerin', 'lagi', 'saya', 'mau', 'masuk', 'pake', 'akun', 'fb', 'gak', 'bisa', 'malah', 'bulak', 'balik', 'lagi', 'tolong', 'kerjasamanya']","['tolong', 'perpindahan', 'akun', 'fb', 'benerin', 'masuk', 'pake', 'akun', 'fb', 'gak', 'bulak', 'tolong', 'kerjasamanya']","['tolong', 'perpindahan', 'akun', 'fb', 'benerin', 'masuk', 'pake', 'akun', 'fb', 'gak', 'bulak', 'tolong', 'kerjasamanya']","['tolong', 'pindah', 'akun', 'fb', 'benerin', 'masuk', 'pake', 'akun', 'fb', 'gak', 'bulak', 'tolong', 'kerjasamanya']"
Game Dajjal udh pke wifi Masi ngeleg bikin stres semoga perusahaan montooon bangkrut/tidak ada yg mau main montoon nak Dajjal bekas kaos kaki Dajjal udh perusahaan haram mending hapus ae game haram menjijikan + anak Dajjal babi bangsat Mampus,1,Negatif,game dajjal udh pke wifi masi ngeleg bikin stres semoga perusahaan montooon bangkrut/tidak ada yg mau main montoon nak dajjal bekas kaos kaki dajjal udh perusahaan haram mending hapus ae game haram menjijikan + anak dajjal babi bangsat mampus,game dajjal udh pke wifi masi ngeleg bikin stres semoga perusahaan montooon bangkrut tidak ada yg mau main montoon nak dajjal bekas kaos kaki dajjal udh perusahaan haram mending hapus ae game haram menjijikan anak dajjal babi bangsat mampus,"['game', 'dajjal', 'udh', 'pke', 'wifi', 'masi', 'ngeleg', 'bikin', 'stres', 'semoga', 'perusahaan', 'montooon', 'bangkrut', 'tidak', 'ada', 'yg', 'mau', 'main', 'montoon', 'nak', 'dajjal', 'bekas', 'kaos', 'kaki', 'dajjal', 'udh', 'perusahaan', 'haram', 'mending', 'hapus', 'ae', 'game', 'haram', 'menjijikan', 'anak', 'dajjal', 'babi', 'bangsat', 'mampus']","['game', 'dajjal', 'udh', 'pke', 'wifi', 'masi', 'ngeleg', 'bikin', 'stres', 'semoga', 'perusahaan', 'montooon', 'bangkrut', 'yg', 'main', 'montoon', 'nak', 'dajjal', 'bekas', 'kaos', 'kaki', 'dajjal', 'udh', 'perusahaan', 'haram', 'mending', 'hapus', 'ae', 'game', 'haram', 'menjijikan', 'anak', 'dajjal', 'babi', 'bangsat', 'mampus']","['game', 'dajjal', 'udh', 'pke', 'wifi', 'masi', 'ngeleg', 'bikin', 'stres', 'semoga', 'perusahaan', 'montooon', 'bangkrut', 'yg', 'main', 'montoon', 'nak', 'dajjal', 'bekas', 'kaos', 'kaki', 'dajjal', 'udh', 'perusahaan', 'haram', 'mending', 'hapus', 'ae', 'game', 'haram', 'menjijikan', 'anak', 'dajjal', 'babi', 'bangsat', 'mampus']","['game', 'dajjal', 'udh', 'pke', 'wifi', 'mas', 'ngeleg', 'bikin', 'stres', 'moga', 'usaha', 'montooon', 'bangkrut', 'yg', 'main', 'montoon', 'nak', 'dajjal', 'bekas', 'kaos', 'kaki', 'dajjal', 'udh', 'usaha', 'haram', 'mending', 'hapus', 'ae', 'game', 'haram', 'jijik', 'anak', 'dajjal', 'babi', 'bangsat', 'mampus']"
